TITLE,PLAY #,ODK,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,MOTION,PLAY DIR,PLAY DIR2,O Score,D Score,Margin,PASS/RUN,EXPLOSIVE PLAY
,20,O,2,5,,Run,,-5,DOUBLES RIGHT,18 SPEED OMAHA,,2-Apr,0,,,,,0,7,-7,1,0
,21,O,3,10,,Run,,-3,DOUBLES RIGHT,,,,,,,,,0,7,-7,1,0
,22,O,4,13,,Pass,Interception,,SLOTS RIGHT,50 SLUGO,,2-Apr,0,,,,,0,7,-7,#N/A,0
,23,D,1,10,-10,Run,,14,THUNDER,Z REVERSE,,,,,,,,0,7,-7,#N/A,0
,24,D,1,10,-24,Run,,6,THUNDER,24 ISO,,,,,,,,0,7,-7,#N/A,0
,25,D,2,4,-30,,Penalty,-10,THUNDER,37 QB COUNTER,,,,,,,,0,7,-7,0,0
,26,D,2,14,-20,,Penalty,5,,,,,,,,,,0,7,-7,0,0
,27,D,2,9,-25,Pass,Incomplete,0,TWINS LEFT SPLIT,91,,,,,,,,0,7,-7,0,0
,28,D,3,9,-25,Run,,7,THUNDER,14 SINGLE OMAHA,,,,,,,,0,7,-7,#N/A,0
,29,O,1,10,-32,Run,,4,DOUBLES RIGHT,15,,2-Apr,0,,,,,0,7,-7,0,1
,30,O,2,6,-36,Run,,2,DOUBLES RIGHT,30 TRAP,,2-Apr,0,,ZOOM,,,0,7,-7,0,1
,31,O,3,4,,Run,,4,DOUBLES RIGHT,24 QB ISO,,2-Apr,0,,,,,0,7,-7,#N/A,0
,32,O,1,10,,Run,,11,DOUBLES RIGHT,QB SNEAK,,2-Apr,0,,,,,0,7,-7,#N/A,0
,33,O,1,10,,Run,,0,DOUBLES RIGHT,24 QB ISO,,2-Apr,0,,,,,0,7,-7,0,0
,34,O,2,10,,Run,,-2,DOUBLES RIGHT,15,,2-Apr,0,,,,,0,7,-7,0,0
,35,O,3,12,,Run,,3,DOUBLES RIGHT,15,,2-Apr,0,,FLOAT,,,0,7,-7,0,0
,36,K,4,9,,Punt,,,,,,,,,,,,0,7,-7,0,1
,37,D,1,10,-3,Run,,12,SLOTS,30 TRAP,,,,,,,,0,7,-7,0,0
,38,D,1,10,-15,,Fumble,,,,,,,,,,,0,7,-7,0,0
,39,O,1,10,,Run,,3,DOUBLES RIGHT,15,,2-Apr,0,,FLOAT,,,0,7,-7,1,1
,40,O,2,7,,Run,,4,DOUBLES RIGHT,15 DOUBLE OMAHA,,2-Apr,0,,FLOAT,,,0,7,-7,0,0
,41,O,3,3,,Run,,4,DOUBLES RIGHT,QB SNEAK,,2-Apr,0,,,,,0,7,-7,0,0
,42,O,1,10,,Run,,0,DOUBLES RIGHT,15,,2-Apr,0,,FLOAT,,,0,7,-7,0,0
,43,O,2,10,,Run,,1,DOUBLES RIGHT,14,,2-Apr,0,,FLOAT,,,0,7,-7,1,0
,44,O,3,9,,Run,,0,DOUBLES RIGHT,QB SNEAK,,2-Apr,0,,,,,0,7,-7,0,0
,45,O,4,9,,Run,TD,1,DOUBLES RIGHT,25 QB ISO,,2-Apr,0,,HOVER,,,6,7,-1,0,0
,46,O,0,,3,2 Pt.,Good,,,,,,,,,,,6,7,-1,#N/A,0
,47,K,,,,,,,,,,,,,,,,6,7,-1,#N/A,0
,48,D,1,10,-14,Run,,2,TWINS RIGHT SPLIT,24 ISO,,,,,,,,6,7,-1,1,0
,49,D,2,8,-16,Run,,-3,THUNDER,37 QB COUNTER,,,,,,,,6,7,-1,0,0
,50,D,3,11,-13,Run,TD,87,4 WIDE,JET 26 QB POWER READ,,,,,,,,6,13,-7,0,0
,51,K,0,,3,Extra Pt. Block,Good,,,,,,,,,,,6,14,-8,0,0
,52,K,0,,-40,KO Rec,,,,,,,,,,,,6,14,-8,0,0
,53,O,1,10,,Run,,1,DOUBLES RIGHT,14,,2-Apr,0,,FLOAT,,,6,14,-8,0,0
,54,O,2,9,,Run,,-4,DOUBLE WING LEFT,QB 19,,2-Apr,0,,,,,6,14,-8,0,0
,55,O,3,13,,Pass,Incomplete,0,DOUBLES RIGHT,218 Z SEAM X DIG,,2-Apr,0,,,,,6,14,-8,0,0
,56,K,4,13,,Punt,,,,,,,,,,,,6,14,-8,0,0
,57,D,1,10,33,,TD,33,SLOTS,Y REVERSE,,,,,,,,6,20,-14,#N/A,0
,58,K,0,,3,Extra Pt. Block,Penalty,1,,,,,,,,,,6,21,-15,0,0
,59,D,0,,2,2 Pt. Defend,Good,,,,,,,,,,,6,21,-15,#N/A,0
,60,K,,,,,,,,,,,,,,,,6,21,-15,0,0
,61,O,1,10,,Pass,Incomplete,0,DOUBLES RIGHT,50 ALL SEAM,,2-Apr,0,YES,,,,6,21,-15,0,0
,62,O,2,10,,Run,,0,DOUBLES RIGHT,31 TRAP,,2-Apr,0,,,,,6,21,-15,0,0
,63,O,3,10,,Pass,Incomplete,0,DOUBLES RIGHT,FOX 418,,2-Apr,0,,FLOAT,,,6,21,-15,0,0
,64,K,4,10,,Punt,,,,,,,,,,,,6,21,-15,0,0
,65,D,1,10,-27,Run,,8,5 WIDE,JET 26 QB POWER READ,,,,,,,,6,21,-15,0,0
,66,D,2,2,-35,Pass,Incomplete,0,TRIPS RIGHT,62 FLORIDA,,,,,,,,6,21,-15,0,0
,67,D,3,2,-35,Run,,8,THUNDER,24 ISO,,,,,,,,6,21,-15,#N/A,0
,68,D,1,10,-43,Run,,1,THUNDER,24 ISO,,,,,,,,6,21,-15,#N/A,0
,69,D,2,5,-44,Run,,15,SLOTS,18 JET,,,,,,,,6,21,-15,0,0
,70,D,1,10,41,,,6,,,,,,,,,,6,21,-15,0,0
,71,D,1,10,35,Pass,Incomplete,0,4 WIDE,JET 93,,,,,,,,6,21,-15,0,1
,72,D,2,10,35,Run,,18,4 WIDE,QB DRAW,,,,,,,,6,21,-15,#N/A,0
,73,D,1,10,17,Pass,Penalty,7,,,,,,,,,,6,21,-15,#N/A,0
,74,D,1,4,11,Pass,Incomplete,0,,,,,,,,,,6,21,-15,0,0
,75,K,2,4,11,,,,,,,,,,,,,6,21,-15,0,0
,76,D,1,10,-41,Run,,6,THUNDER,24 ISO,,,,,,,,6,21,-15,1,0
,77,D,2,4,-47,Run,,1,LIGHTNING,25 ISO,,,,,,,,6,21,-15,#N/A,0
,78,D,3,4,-48,Run,,7,LIGHTNING,15 SINGLE OMAHA,,,,,,,,6,21,-15,#N/A,0
,79,D,1,10,45,Run,,-1,4 WIDE,JET 18,,,,,,,,6,21,-15,#N/A,0
,80,D,2,11,46,Run,,4,4 WIDE,JET 26 QB POWER READ,,,,,,,,6,21,-15,#N/A,0
,81,D,3,7,42,Run,Fumble,,,,,,,,,,,6,21,-15,#N/A,0
,82,O,1,10,,Pass,Complete,27,DOUBLES RIGHT,218 Z SEAM X DIG,,2-Apr,0,,,,,6,21,-15,1,0
,83,O,1,10,,Run,,0,SLOTS RIGHT,19 QB,,2-Apr,0,,ZIP,,,6,21,-15,0,0
,84,O,2,10,,Run,,-2,DOUBLES RIGHT,BLAST RIGHT,,2-Apr,0,,FLOAT,,,6,21,-15,1,0
,85,O,3,12,,Run,,-2,SLOTS RIGHT,SpiDER MAN,,2-Apr,0,,,,,6,21,-15,#N/A,0
,86,O,4,14,,Pass,"Complete, TD",26,SLOTS RIGHT,62 FLORIDA F DELAY,,2-Apr,0,,FLUTTER,,,12,21,-9,0,0
,87,K,0,,3,Extra Pt.,Good,,,,,,,,,,,13,21,-8,1,0
,88,K,0,,-40,KO,,,,,,,,,,,,13,21,-8,0,0
,89,D,1,10,-33,Run,,-3,TWINS LEFT SPLIT,19,,,,,,,,13,21,-8,0,0
,90,D,2,13,-30,Run,,-2,OPEN LEFT,JET 19,,,,,,,,13,21,-8,0,1
,91,D,3,15,-28,Pass,Incomplete,0,4 WIDE,50 ALL SEAM,,,,,,,,13,21,-8,#N/A,0
,92,K,4,15,-28,Punt,,,,,,,,,,,,13,21,-8,1,0
,93,O,1,10,,,Fumble,,,,,,,,,,,13,21,-8,0,1
,94,D,1,10,45,Run,,17,ACE,15,,,,,,,,13,21,-8,1,0
,95,D,1,10,28,Run,,9,ACE,15,,,,,,,,13,21,-8,1,0
,96,D,2,1,19,,Timeout,-64,,,,,,,,,,13,21,-8,#N/A,0
,97,D,2,1,19,Run,,2,OPEN RIGHT,25 ISO,,,,,,,,13,21,-8,0,0
,98,D,1,10,17,Run,,2,THUNDER,14,,,,,,,,13,21,-8,0,0
,99,D,2,8,15,Run,,-1,THUNDER,QB 37 COUNTER,,,,,,,,13,21,-8,0,0
,100,D,3,9,16,Run,,14,4 WIDE,QB 27 POWER READ,,,,,,,,13,21,-8,0,0
,101,D,1,10,2,Run,TD,2,LIGHTNING,15 SINGLE OMAHA,,,,,,,,13,27,-14,0,0
,102,K,0,,3,Extra Pt. Block,,,,,,,,,,,,13,28,-15,0,0
,103,K,0,,-40,KO Rec,,,,,,,,,,,,13,28,-15,1,1
,104,O,1,10,,Run,,0,TRIPS LEFT,14 DOUBLE OMAHA,,2-Apr,0,,,,,13,28,-15,0,0
,105,O,2,10,,Run,,-3,TRIPS LEFT,18 QB,,2-Apr,0,,,,,13,28,-15,0,0
,106,O,3,13,,Pass,Incomplete,0,TRIPS LEFT,50 ALL SEAM,,2-Apr,0,,,,,13,28,-15,0,0
,107,K,4,13,,Punt,,,,,,,,,,,,13,28,-15,1,1
,108,K,1,10,,,,,,,,,,,,,,13,28,-15,#N/A,0
,109,D,1,10,-32,Run,,4,4 WIDE,JET 19,,,,,,,,13,28,-15,#N/A,0
,110,D,2,6,-36,Run,,21,SLOTS,30 TRAP,,,,,,,,13,28,-15,0,0
,111,D,1,10,43,Run,,3,TWINS RIGHT SPLIT,24 ISO,,,,,,,,13,28,-15,0,0
,112,D,2,7,40,Run,,2,TWINS LEFT SPLIT,25 ISO,,,,,,,,13,28,-15,1,0
,113,D,3,5,38,Run,,4,TROJAN RIGHT,JET 18,,,,,,,,13,28,-15,#N/A,0
,114,D,4,1,34,Run,,3,WISHBONE,FB Dive,,,,,,,,13,28,-15,#N/A,0
,115,D,1,10,31,Run,,1,TROJAN RIGHT,JET 18,,,,,,,,13,28,-15,0,1
,116,D,2,9,30,,Penalty,15,TWINS RIGHT SPLIT,18,,,,,,,,13,28,-15,0,0
,117,D,1,10,15,Run,,12,THUNDER,24 ISO,,,,,,,,13,28,-15,#N/A,0
,118,D,1,3,3,Run,TD,3,THUNDER,14,,,,,,,,13,34,-21,0,0
,119,D,0,3,3,Extra Pt. Block,,,,,,,,,,,,13,35,-22,0,0
,120,K,,,,,,,,,,,,,,,,13,35,-22,0,0
,121,O,1,10,,Run,,0,4 WIDE RIGHT,30 TRAP,,2-Apr,0,,,,,13,35,-22,0,0
,122,O,2,10,,Pass,Incomplete,0,4 WIDE RIGHT,91,,2-Apr,0,,,,,13,35,-22,0,0
,123,O,3,10,,Run,,4,4 WIDE RIGHT,24 QB DRAW,,2-Apr,0,,,,,13,35,-22,#N/A,0
,124,K,4,6,,Punt,,,,,,,,,,,,13,35,-22,#N/A,0
,125,D,1,10,-27,Run,,1,THUNDER,24 ISO,,,,,,,,13,35,-22,0,0
,126,D,2,9,-28,Run,,13,4 WIDE,JET 26 QB POWER READ,,,,,,,,13,35,-22,0,0
,127,D,1,10,-41,,,56,,,,,,,,,,13,35,-22,1,0
,128,D,1,10,-41,Run,,4,THUNDER,QB 37 COUNTER,,,,,,,,13,35,-22,#N/A,0
,129,D,2,6,-45,Run,,9,THUNDER,24 ISO,,,,,,,,13,35,-22,#N/A,0
,130,D,1,10,46,Run,,2,LIGHTNING,25 ISO,,,,,,,,13,35,-22,0,0
,131,D,2,8,44,Run,,21,LIGHTNING,26 QB POWER READ,,,,,,,,13,35,-22,0,1
,132,D,1,10,23,Run,,3,LIGHTNING,25 ISO,,,,,,,,13,35,-22,0,0
,134,D,,,,,,,,,,,,,,,,,,,0,0
,135,D,,,,,,,,,,,,,,,,,,,0,0
,1,,,,,,,,,,,,,,,,,0,0,0,0,0
,2,K,,,-40,,,,,,,,,,,,,0,0,0,0,0
,3,D,1,10,-20,Run,,4,OPEN LEFT,JET 19,,,,,,,,0,0,0,#N/A,0
,4,D,2,6,-24,,Penalty,5,,,,,,,,,,0,0,0,0,0
,5,D,3,1,-29,Run,,2,LIGHTNING TIGHT,24 ISO,,,,,,,,0,0,0,0,0
,6,D,1,10,-31,Run,,24,2X2 SLOTS TE,JET 18,,,,,,,,0,0,0,#N/A,0
,7,D,1,10,45,Pass,Penalty,-5,,,,,,,,,,0,0,0,#N/A,0
,8,D,1,15,50,Pass,Complete,22,TROJAN LEFT,ALL HITCH,,,,,,,,0,0,0,0,0
,9,D,1,10,28,Run,,12,2X2 SLOTS TE,30 TRAP,,,,,,,,0,0,0,1,0
,10,D,1,10,16,Run,TD,16,4 WIDE,15 SINGLE OMAHA,,,,,,,,0,6,-6,0,0
,11,K,0,,3,Extra Pt. Block,Penalty,1,,,,,,,,,,0,7,-7,#N/A,0
,12,K,0,,1,Extra Pt.,Good,,,,,,,,,,,0,7,-7,0,0
,13,K,1,10,-40,KO,,,,,,, ,,,,,0,7,-7,0,0
,14,O,1,10,-22,Pass,Incomplete,0,4 WIDE,PATRIOT,,,,,,R,,0,7,-7,#N/A,0
,15,O,2,10,-22,Run,Rush,1,TRIPS,GATOR,,,,,,R,,0,7,-7,0,0
,16,O,3,9,-23,Pass,Incomplete,0,4 WIDE,PATRIOT,,,,,,R,,0,7,-7,0,0
,17,K,4,9,-23,,,,,,,,,,,,,0,7,-7,0,0
,18,D,1,10,-26,Run,,3,THUNDER,JET 27 QB POWER READ,,,,,,,,0,7,-7,0,1
,19,D,2,7,-29,Run,,4,4 WIDE,23 POWER G,,,,,,,,0,7,-7,0,0
,20,D,3,3,-33,Run,,1,WISHBONE,FB Dive,,,,,,,,0,7,-7,#N/A,0
,21,K,4,1,-35,Punt,,,,,,,,,,,,0,7,-7,#N/A,0
,22,O,1,10,24,Run,Rush,-3,TRIPS SPLIT,GATOR,,,,,,R,,0,7,-7,#N/A,0
,23,O,2,13,27,Pass,Complete,25,4 WIDE,92 (SLANT/OUT),,,,,,R,,0,7,-7,#N/A,0
,24,O,1,10,2,Run,"Rush, TD",2,TWINS SPLIT,TROJAN QB,,,,,,R,,6,7,-1,0,0
,25,K,0,,4,Extra Pt.,,,,,,,,,,,,7,7,0,#N/A,0
,26,K,0,,-40,KO,,,,,,,,,,,,7,7,0,0,0
,27,D,1,10,-26,Run,,4,TRIPS LEFT,18,,,,,,,,7,7,0,0,1
,28,D,2,6,-30,Pass,Penalty,-5,,,,,,,,,,7,7,0,1,0
,29,D,2,11,-25,Run,,-4,THUNDER,14 SINGLE OMAHA,,,,,,,,7,7,0,1,1
,30,D,3,15,-21,Pass,Penalty,-5,,,,,,,,,,7,7,0,0,0
,31,D,3,20,-16,,Penalty,-5,,,,,,,,,,7,7,0,0,1
,32,D,3,25,-11,Pass,,13,TROJAN RIGHT,ROCKET,,,,,,,,7,7,0,#N/A,0
,33,K,4,12,-24,Punt,,,,,,,,,,,,7,7,0,#N/A,0
,34,O,1,10,42,Pass,Complete,10,TRIPS,JAGUAR,,,,,,R,,7,7,0,#N/A,0
,35,O,1,10,32,,Penalty,-5,TRIPS,,,,,,,,,7,7,0,1,0
,36,O,1,15,37,Pass,Incomplete,0,LEDGE TIGHT,CAROLINA TB,,,,,,R,,7,7,0,0,0
,37,O,2,15,37,Run,Rush,2,BUNCH,OREGON,,,,,,L,,7,7,0,1,0
,38,O,3,13,35,Pass,Incomplete,0,TRIPS SPLIT,SPUR,,,,,,R,,7,7,0,#N/A,0
,39,O,4,13,35,,Penalty,-5,LEDGE SPREAD,,,,,,,,,7,7,0,0,0
,40,K,4,18,40,,,,,,,,,,,,,7,7,0,0,0
,41,D,1,10,-2,Run,,8,ACE,FB Dive,,,,,,,,7,7,0,0,0
,42,D,2,2,-10,Run,,7,ACE,15 SINGLE OMAHA,,,,,,,,7,7,0,#N/A,0
,43,D,1,10,-17,Run,,-1,ACE,15 SINGLE OMAHA,,,,,,,,7,7,0,0,0
,44,D,2,11,-16,Pass,Complete,10,TROJAN RIGHT,ALL HITCH,,,,,,,,7,7,0,1,1
,45,D,3,1,-26,Run,,7,THUNDER,JET 19,,,,,,,,7,7,0,0,0
,46,D,1,10,-33,Run,,5,TROJAN LEFT,30 TRAP,,,,,,,,7,7,0,#N/A,0
,47,D,2,5,-38,Run,,15,TROJAN LEFT,31 TRAP,,,,,,,,7,7,0,#N/A,0
,48,D,1,10,47,Run,,6,4 WIDE,23 POWER G,,,,,,,,7,7,0,0,0
,49,D,2,9,41,Run,,5,THUNDER,24 ISO,,,,,,,,7,7,0,1,0
,50,D,1,10,36,Run,,33,TIGER LEFT,19,,,,,,,,7,7,0,0,0
,51,D,1,3,3,Run,,1,WISHBONE,19 TOSS,,,,,,,,7,7,0,1,0
,52,D,2,2,2,Run,TD,2,WISHBONE,27 POWER,,,,,,,,7,13,-6,#N/A,0
,53,K,0,,3,Extra Pt. Block,,,,,,,,,,,,7,14,-7,1,0
,54,K,0,,-40,KO Rec,,,,,,,,,,,,7,14,-7,#N/A,0
,55,O,1,10,-33,Pass,Interception,,TWINS SPLIT,PA 93 (FADE/OUT),,,,,,,,7,14,-7,1,0
,56,D,1,10,28,Run,,0,2X2 SLOTS TE,JET 19,,,,,,,,7,14,-7,#N/A,0
,57,D,2,10,28,Run,,9,2X2 SLOTS TE,30 TRAP,,,,,,,,7,14,-7,1,0
,58,D,3,1,19,Run,,4,WISHBONE,23 LEAD,,,,,,,,7,14,-7,0,0
,59,D,1,10,15,Run,Penalty,-10,,,,,,,,,,7,14,-7,1,0
,60,D,1,20,25,Pass,Incomplete,0,LIGHTNING,93,,,,,,,,7,14,-7,#N/A,0
,61,D,2,20,25,Pass,Complete,7,TROJAN RIGHT,CAT,,,,,,,,7,14,-7,#N/A,0
,62,D,3,13,18,Pass,Incomplete,0,TROJAN RIGHT,63 FLORIDA,,,,,,,,7,14,-7,0,0
,63,K,4,12,17,FG,No Good,,,,,,,,,,,7,17,-10,0,0
,64,O,1,10,-20,Run,Rush,0,TRIPS,UCLA (OKLAHOMA),,,,,,L,,7,17,-10,0,0
,65,O,2,10,-20,Run,Rush,6,TRIPS,FLORIDA,,,,,,L,,7,17,-10,1,0
,66,O,3,4,-26,Pass,Incomplete,0,4 WIDE,92 (SLANT/OUT),,,,,,R,,7,17,-10,0,0
,67,K,4,4,-26,,,,,,,,,,,,,7,17,-10,0,0
,68,D,1,10,-42,Run,TD,58,SINGLE WING,Z REVERSE,,,,,,,,7,23,-16,0,1
,69,K,0,,3,Extra Pt. Block,Good,,,,,,,,,,,7,24,-17,0,0
,70,K,0,,-40,KO Rec,,,,,,,,,,,,7,24,-17,0,0
,71,O,1,10,-6,Run,Rush,1,BUNCH,DUCKS,,,,,,R,,7,24,-17,0,1
,72,O,2,9,-7,Run,Rush,-4,LEDGE TIGHT,GATOR,,,,,,R,,7,24,-17,0,0
,73,O,3,13,-3,Run,Rush,8,LEDGE TIGHT,HAWKEYE,,,,,,R,,7,24,-17,0,0
,74,K,4,5,-11,,,,,,,,,,,,,7,24,-17,#N/A,0
,75,D,1,10,37,Pass,Interception,0,4 WIDE,50 ALL SEAM,,,,,,,,7,24,-17,#N/A,0
,76,K,1,10,-37,KO Rec,,,,,,,,,,,,7,24,-17,1,0
,77,O,1,10,-36,Run,Rush,0,TRIPS SPLIT,BRUIN,,,,,,R,,7,24,-17,0,0
,78,O,2,10,-36,Pass,Complete,10,LEDGE TIGHT,PANTHER F SHALLOW,,,,,,R,,7,24,-17,0,0
,79,O,1,10,-46,Run,Rush,-1,LEDGE TIGHT,HAWKEYE,,,,,,R,,7,24,-17,0,0
,80,O,2,11,-45,Pass,Sack,-3,TRIPS,JACKSONVILLE,,,,,,L,,7,24,-17,0,0
,81,O,3,14,-42,Pass,Complete,7,LEDGE TIGHT,PANTHER TB,,,,,,L,,7,24,-17,1,0
,82,K,4,17,-39,,,,,,,,,,,,,7,24,-17,1,0
,83,D,1,10,-15,Run,Penalty,22,,,,,,,,,,7,24,-17,1,0
,84,D,1,10,-37,Run,,5,SINGLE WING,25 ISO,,,,,,,,7,24,-17,#N/A,0
,85,D,2,5,-42,Run,,16,SINGLE WING,24 ISO,,,,,,,,7,24,-17,0,0
,86,D,1,10,42,Run,,8,SINGLE WING,19,,,,,,,,7,24,-17,0,0
,87,D,2,2,34,Run,,3,SINGLE WING,FB Dive,,,,,,,,7,24,-17,1,0
,88,D,1,10,31,,Penalty,5,SINGLE WING,,,,,,,,,7,24,-17,#N/A,0
,89,D,1,5,26,Run,,13,SINGLE WING,Z REVERSE,,,,,,,,7,24,-17,0,1
,90,D,1,10,13,Run,,3,SINGLE WING,25 ISO,,,,,,,,7,24,-17,#N/A,0
,91,D,2,7,10,Run,Penalty,-10,,,,,,,,,,7,24,-17,#N/A,0
,92,D,2,17,20,Pass,Complete,14,SINGLE WING,92,,,,,,,,7,24,-17,0,0
,93,D,1,6,6,,Penalty,2,SINGLE WING,,,,,,,,,7,24,-17,0,0
,94,D,1,4,4,Run,TD,4,SINGLE WING,QB SCRAMBLE,,,,,,,,7,30,-23,0,0
,95,K,0,,3,Extra Pt. Block,Good,,,,,,,,,,,7,31,-24,#N/A,0
,96,K,0,,-40,KO Rec,,,,,,,,,,,,7,31,-24,1,0
,97,O,1,10,48,Run,Penalty,10,4 WIDE,BRUIN,,,,,,R,,7,31,-24,#N/A,0
,98,O,1,10,38,Pass,Incomplete,0,4 WIDE,PATRIOT,,,,,,R,,7,31,-24,0,0
,99,O,2,10,38,Run,Rush,-3,4 WIDE,FLORIDA,,,,,,L,,7,31,-24,1,0
,100,O,3,13,41,Pass,Incomplete,0,LEDGE SPREAD,WARRIOR,,,,,,R,,7,31,-24,0,0
,101,O,4,13,41,Pass,Scramble,15,TRIPS SPLIT,BUFFALO,,,,,,R,,7,31,-24,1,0
,102,O,1,10,26,Run,Rush,-2,TRIPS SPLIT,UCLA (OKLAHOMA),,,,,,L,,7,31,-24,1,0
,103,O,2,12,28,Pass,Incomplete,0,4 WIDE,SAN ANTONIO,,,,,,L,,7,31,-24,#N/A,0
,104,O,3,12,28,Run,Rush,1,BUNCH,NEBRASKA,,,,,,R,,7,31,-24,0,1
,105,O,4,11,27,Pass,Incomplete,0,4 WIDE,NEW ENGLAND,,,,,,L,,7,31,-24,0,0
,106,D,1,10,-27,Run,,0,LIGHTNING,19,,,,,,,,7,31,-24,0,1
,107,D,2,10,-27,Run,,2,LIGHTNING,31 TRAP,,,,,,,,7,31,-24,0,0
,108,D,3,8,-29,Run,Penalty,,,,,,,,,,,7,31,-24,0,0
,109,K,,,-31,Punt,,,,,,,,,,,,7,31,-24,#N/A,0
,110,O,1,10,-48,Pass,Complete,10,TRIPS SPLIT,92 (SLANT/OUT),,,,,,L,,7,31,-24,0,0
,111,O,1,10,42,Run,Rush,7,TRIPS SPLIT,BRUIN (SOONER),,,,,,R,,7,31,-24,0,0
,112,O,2,3,35,Run,Rush,-4,TRIPS SPLIT,INDIANA,,,,,,L,,7,31,-24,0,0
,113,O,3,7,39,Pass,Penalty,10,TRIPS SPLIT,92 (SLANT/OUT),,,,,,R,,7,31,-24,1,0
,114,O,1,10,30,Pass,Complete,10,TRIPS SPLIT,92 (SLANT/OUT),,,,,,R,,7,31,-24,#N/A,0
,115,O,1,10,20,Pass,Interception,,TRIPS SPLIT,SLUGGO,,,,,,R,,7,31,-24,0,0
,116,D,1,10,28,Run,TD,28,SINGLE WING,Z REVERSE,,,,,,,,7,37,-30,#N/A,0
,117,K,0,,3,Extra Pt. Block,Good,,,,,,,,,,,7,38,-31,#N/A,0
,118,K,0,,-40,KO Rec,,,,,,,,,,,,7,38,-31,0,0
,119,O,1,10,-40,Run,Rush,3,LEDGE TIGHT,IOWA,,,,,,L,,7,38,-31,1,0
,120,O,2,7,-43,Run,Rush,4,LEDGE TIGHT,HAWKEYE QB,,,,,,R,,7,38,-31,0,0
,121,O,3,3,-47,Run,Rush,10,4 WIDE,USC QB,,,,,,L,,7,38,-31,1,0
,122,O,1,10,43,Run,Rush,0,4 WIDE,TROJAN QB,,,,,,R,,7,38,-31,1,0
,123,O,2,10,43,Pass,Incomplete,0,4 WIDE,91 (HITCH/SEAM),,,,,,R,,7,38,-31,0,0
,124,O,2,10,43,Run,Fumble,,LEDGE TIGHT,HAWKEYE,,,,,,R,,7,38,-31,1,0
,125,D,1,10,-37,Run,,3,WISHBONE,26 LEAD,,,,,,,,7,38,-31,0,0
,126,D,2,7,-40,Run,,39,ACE,10 SINGLE OMAHA,,,,,,,,7,38,-31,1,0
,127,D,1,10,21,Run,,7,4 WIDE,JET 37 QB COUNTER,,,,,,,,7,38,-31,0,0
,128,D,2,3,14,Run,,9,ACE,11 SINGLE OMAHA,,,,,,,,7,38,-31,0,0
,129,D,1,5,5,Run,,-4,THUNDER,14 SINGLE OMAHA,,,,,,,,7,38,-31,0,0
,130,D,2,9,9,Run,,2,4 WIDE,JET 36 QB COUNTER,,,,,,,,7,38,-31,#N/A,0
,131,D,3,7,8,Run,Fumble,-3,4 WIDE,JET 19,,,,,,,,7,38,-31,1,0
,132,O,1,10,-16,Run,Rush,5,4 WIDE,USC QB,,,,,,L,,7,38,-31,0,0
,1,S,,,,,,,,,,,,,,,,0,0,0,0,0
,2,D,2,6,40,Run,Rush,-6,4 WIDE,JET 18,,,,,,L,,0,0,0,1,0
,3,D,3,11,46,Pass,Scramble,5,LEDGE,62 FLORIDA HANK Z WHEEL,,,,,,R,,0,0,0,1,0
,4,K,4,6,41,Punt Rec,,,,,,,,,,,,0,0,0,1,0
,5,O,1,10,-15,Pass,Complete,7,4 WIDE,BEARS,3,,,N,,R,,0,0,0,0,1
,6,O,2,3,-22,Pass,Complete,10,TRIPS SPLIT,ALL HITCH,6,,,N,,R,,0,0,0,#N/A,0
,7,O,1,10,-32,Pass,Batted Down,0,5 WIDE,CHICAGO,4,,,N,,L,,0,0,0,#N/A,0
,8,O,2,10,-32,Run,Rush,1,TRIPS SPLIT,ARIZONA,,,,N,,R,,0,0,0,0,0
,9,O,3,9,-33,Pass,Complete,11,TRIPS SPLIT,STOPS,6,,,Y,,R,,0,0,0,0,0
,10,O,1,10,-44,Run,Rush,0,ACE,HOOSIER,,,,N,,R,,0,0,0,0,0
,11,O,2,10,-44,Run,Rush,4,COMET,GATOR,,,,N,,R,,0,0,0,0,0
,12,O,3,6,-48,Pass,Incomplete,0,TRIPS SPLIT,STOPS,5,,,N,,L,,0,0,0,1,0
,13,K,4,6,-48,Punt,,,,,,,,,,,,0,0,0,0,0
,14,D,1,10,-24,Run,Rush,5,TRIPS RIGHT,14 SINGLE OMAHA,,,,,,L,,0,0,0,0,0
,15,D,2,5,-29,Run,Rush,6,THUNDER,26 QB POWER G,,,,,,L,,0,0,0,0,1
,16,D,1,10,-35,Run,Rush,0,LOAD RIGHT,JET 18,,,,,,R,,0,0,0,0,0
,17,D,2,10,-35,Pass,Incomplete,0,LOAD LEFT,JET 418,4,,,,,L,,0,0,0,0,0
,18,D,3,10,-35,Pass,Incomplete,0,ACE,HITCH & GO,9,,,,,R,,0,0,0,0,0
,19,K,4,10,-35,Punt,,,,,,,,,,,,0,0,0,0,0
,20,O,1,10,-29,Run,Rush,7,TWINS,BADGER,,,,N,,R,,0,0,0,0,0
,21,O,2,3,-36,Pass,Dropped,0,TWINS,SAN DIEGO,7,,,N,,L,,0,0,0,0,0
,22,O,3,3,-36,Pass,Complete,6,TRIPS SPLIT,ALL HITCH,5,,,Y,,L,,0,0,0,#N/A,0
